d3afcd64-1df9-48ac-8bee-a1e9a37535a0
Jersey|Points|TwoPointsMade|TwoPointAttempts|ThreePointsMade|ThreePointAttempts|FreeThrowsMade|FreeThrowAttempts|Assists|OffensiveRebounds|DefensiveRebounds|Rebounds|BlockedShots|Steals|Turnovers|Charges|PersonalFouls
1|0|0|3|0|2|0|0|7|1|3|4|0|1|1|0|0
5|10|1|5|2|3|2|2|1|2|1|3|0|2|2|0|0
11|0|0|2|0|0|0|0|0|2|4|6|0|0|2|0|0
21|12|4|7|1|1|1|2|1|1|3|4|0|0|2|0|2
50|14|5|12|0|0|4|5|2|2|3|5|2|2|1|0|2
4|6|2|4|0|0|2|3|4|1|3|4|0|4|4|0|1
15|6|3|5|0|0|0|2|1|1|3|4|0|3|1|0|1
30|0|0|4|0|0|0|0|1|2|1|3|0|0|2|0|0
32|2|1|4|0|1|0|0|0|0|1|1|0|2|1|0|0
9999|2|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
