d3afcd64-1df9-48ac-8bee-a1e9a37535a0
Jersey|Points|TwoPointsMade|TwoPointAttempts|ThreePointsMade|ThreePointAttempts|FreeThrowsMade|FreeThrowAttempts|Assists|OffensiveRebounds|DefensiveRebounds|Rebounds|BlockedShots|Steals|Turnovers|Charges|PersonalFouls
4|0|0|1|0|0|0|0|1|1|1|2|0|0|2|0|1
15|7|3|3|0|0|1|2|1|1|3|4|0|1|3|0|4
21|7|3|8|0|0|1|4|2|1|2|3|0|1|2|0|0
30|5|2|3|0|0|1|2|0|0|4|4|0|1|2|0|1
32|2|1|2|0|1|0|0|0|0|2|2|0|1|1|0|1
1|6|2|7|0|2|2|4|6|0|4|4|0|1|3|0|1
5|3|1|3|0|2|1|2|1|1|1|2|0|1|0|0|1
11|5|2|2|0|0|1|2|0|0|2|2|0|2|0|0|0
50|8|2|6|0|0|4|5|0|2|2|4|0|5|0|0|1
9999|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
