d3afcd64-1df9-48ac-8bee-a1e9a37535a0
Jersey|Points|TwoPointsMade|TwoPointAttempts|ThreePointsMade|ThreePointAttempts|FreeThrowsMade|FreeThrowAttempts|Assists|OffensiveRebounds|DefensiveRebounds|Rebounds|BlockedShots|Steals|Turnovers|Charges|PersonalFouls
4|0|0|1|0|1|0|0|0|0|0|0|0|0|3|0|0
5|9|3|7|1|2|0|0|0|2|1|3|0|2|0|0|0
21|12|4|9|0|1|4|4|0|3|6|9|1|1|4|0|1
30|0|0|3|0|0|0|0|1|1|2|3|0|0|2|0|1
50|4|2|4|0|0|0|0|2|0|4|4|0|0|3|0|1
1|5|1|6|1|3|0|0|2|0|3|3|0|0|3|0|4
11|3|1|2|0|0|1|2|3|1|3|4|0|0|0|2|5
15|4|2|3|0|0|0|0|0|1|0|1|0|0|4|1|3
32|0|0|2|0|0|0|0|0|1|1|2|0|0|0|0|1
9999|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1
