d3afcd64-1df9-48ac-8bee-a1e9a37535a0
Jersey|Points|TwoPointsMade|TwoPointAttempts|ThreePointsMade|ThreePointAttempts|FreeThrowsMade|FreeThrowAttempts|Assists|OffensiveRebounds|DefensiveRebounds|Rebounds|BlockedShots|Steals|Turnovers|Charges|PersonalFouls
1|4|2|4|0|0|0|0|3|0|2|2|0|1|2|0|1
5|8|3|3|0|0|2|2|0|0|2|2|0|3|0|0|1
21|12|4|7|0|0|4|4|1|1|0|1|0|0|0|0|2
30|3|0|2|0|0|3|4|1|1|3|4|0|0|1|0|0
50|8|4|7|0|0|0|0|2|2|0|2|0|2|0|0|3
4|0|0|1|0|0|0|0|1|0|3|3|0|0|2|0|1
11|0|0|1|0|0|0|0|2|1|3|4|0|1|1|0|1
15|13|3|6|0|1|7|11|0|1|4|5|0|2|0|0|1
32|1|0|1|0|1|1|2|1|0|1|1|0|1|2|0|2
9999|6|3|3|0|0|0|0|0|0|0|0|0|4|0|0|0
