d3afcd64-1df9-48ac-8bee-a1e9a37535a0
Jersey|Points|TwoPointsMade|TwoPointAttempts|ThreePointsMade|ThreePointAttempts|FreeThrowsMade|FreeThrowAttempts|Assists|OffensiveRebounds|DefensiveRebounds|Rebounds|BlockedShots|Steals|Turnovers|Charges|PersonalFouls
1|6|1|3|1|2|1|4|5|1|7|8|0|0|2|0|4
5|0|0|4|0|4|0|0|0|0|1|1|0|1|1|0|2
11|1|0|1|0|0|1|4|0|2|5|7|1|0|1|0|3
21|9|4|7|0|0|1|2|0|2|2|4|0|3|1|0|3
50|9|4|9|0|0|1|2|0|1|1|2|0|0|0|0|2
4|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|2
13|2|1|2|0|0|0|0|1|0|2|2|0|0|0|0|2
15|0|0|2|0|0|0|0|0|1|0|1|0|0|1|0|4
30|0|0|1|0|0|0|0|0|0|0|0|0|0|2|1|0
32|4|2|3|0|1|0|0|1|0|0|0|0|0|2|0|3
9999|4|2|2|0|1|0|0|0|0|0|0|0|1|1|0|0
